| Backoff | Probability | Avg Flow FCT (ms) | Max Flow FCT (ms) | Avg Rank Task Duration (ms) | Max Rank Task Duration (ms) | Avg Group Task Duration (ms) | Max Group Task Duration (ms) | Avg Pkt Delay (ms) | Workload Makespan (s) |
| 10us | 0.1 | 21.33 | 31.63 | 26.90 | 66.83 | 42.99 | 66.83 | 1.284 | 2.4954 |
| 10us | 0.2 | 26.81 | 31.79 | 26.83 | 66.92 | 42.78 | 66.92 | 1.287 | 2.4865 |
| 10us | 0.3 | 31.02 | 31.97 | 26.89 | 66.92 | 42.92 | 66.92 | 1.287 | 2.4961 |
| 10us | 0.4 | 31.68 | 31.68 | 26.88 | 66.90 | 42.86 | 66.90 | 1.287 | 2.4946 |
| 10us | 0.5 | 30.13 | 31.05 | 26.90 | 66.90 | 42.91 | 66.90 | 1.288 | 2.4975 |
| 10us | 0.6 | 27.69 | 32.66 | 26.90 | 66.70 | 42.91 | 66.70 | 1.288 | 2.4941 |
| 10us | 0.7 | 24.86 | 31.68 | 26.94 | 66.70 | 42.99 | 66.70 | 1.289 | 2.4987 |
| 10us | 0.8 | 31.61 | 32.66 | 26.93 | 66.70 | 42.99 | 66.70 | 1.290 | 2.4981 |
| 10us | 0.9 | 29.99 | 31.67 | 26.93 | 66.90 | 43.00 | 66.90 | 1.290 | 2.4985 |
| 10us | 1.0 | 24.73 | 66.02 | 26.94 | 66.90 | 43.03 | 66.90 | 1.292 | 2.4995 |
| 100us | 0.1 | 18.99 | 29.60 | 26.96 | 66.83 | 44.55 | 66.83 | 1.269 | 2.4943 |
| 100us | 0.2 | 31.37 | 31.37 | 26.78 | 66.65 | 43.37 | 66.66 | 1.279 | 2.4920 |
| 100us | 0.3 | 25.46 | 32.02 | 26.87 | 67.07 | 43.35 | 67.07 | 1.285 | 2.4939 |
| 100us | 0.4 | 30.28 | 32.47 | 26.86 | 66.90 | 43.19 | 66.90 | 1.283 | 2.4933 |
| 100us | 0.5 | 17.21 | 17.21 | 26.85 | 66.90 | 43.03 | 66.90 | 1.287 | 2.4924 |
| 100us | 0.6 | 28.20 | 32.05 | 26.85 | 66.80 | 42.96 | 66.80 | 1.287 | 2.4933 |
| 100us | 0.7 | 27.71 | 32.66 | 26.87 | 66.70 | 42.96 | 66.70 | 1.288 | 2.4930 |
| 100us | 0.8 | 29.66 | 32.87 | 26.90 | 66.70 | 43.01 | 66.70 | 1.288 | 2.4971 |
| 100us | 0.9 | 23.57 | 31.67 | 26.89 | 66.90 | 42.98 | 66.90 | 1.288 | 2.4958 |
| 100us | 1.0 | 24.73 | 66.02 | 26.94 | 66.90 | 43.03 | 66.90 | 1.292 | 2.4995 |
| 1ms | 0.1 | 16.58 | 50.85 | 26.86 | 69.18 | 52.53 | 69.18 | 0.931 | 2.5071 |
| 1ms | 0.2 | 10.53 | 25.17 | 25.82 | 65.38 | 47.33 | 66.63 | 1.129 | 2.4914 |
| 1ms | 0.3 | 11.33 | 31.01 | 26.45 | 66.12 | 46.89 | 66.93 | 1.195 | 2.4862 |
| 1ms | 0.4 | 8.60 | 26.53 | 26.78 | 65.72 | 46.03 | 66.80 | 1.241 | 2.4846 |
| 1ms | 0.5 | 17.69 | 30.06 | 26.59 | 66.76 | 44.63 | 66.80 | 1.262 | 2.4869 |
| 1ms | 0.6 | 24.55 | 64.52 | 26.77 | 66.75 | 44.47 | 66.75 | 1.272 | 2.4890 |
| 1ms | 0.7 | 24.51 | 30.07 | 26.73 | 66.99 | 43.89 | 66.99 | 1.279 | 2.4937 |
| 1ms | 0.8 | 24.14 | 31.07 | 26.84 | 66.83 | 43.72 | 66.83 | 1.283 | 2.4938 |
| 1ms | 0.9 | 23.88 | 31.22 | 26.92 | 66.90 | 43.61 | 66.90 | 1.290 | 2.4996 |
| 1ms | 1.0 | 24.73 | 66.02 | 26.94 | 66.90 | 43.03 | 66.90 | 1.292 | 2.4995 |
